Abílio Santana ,Exmo. Senhor Deputado,@AbilioSantana_
Abou Anni ,Exmo. Senhor Deputado,
Acácio Favacho ,Exmo. Senhor Deputado,@AcacioFavacho
Adolfo Viana ,Exmo. Senhor Deputado,@AdolfoViana_
Adriano do Baldy ,Exmo. Senhor Deputado,@adrianodobaldy
Aécio Neves ,Exmo. Senhor Deputado,@AecioNeves
Afonso Florence ,Exmo. Senhor Deputado,@AfonsoFlorence
Afonso Hamm ,Exmo. Senhor Deputado,@DepAfonsoHamm
Afonso Motta ,Exmo. Senhor Deputado,@afonso_motta
Aguinaldo Ribeiro ,Exmo. Senhor Deputado,@depaguinaldo11
Airton Faleiro ,Exmo. Senhor Deputado,@FaleiroAirton
AJ Albuquerque,Exmo. Senhor Deputado,
Alan Rick ,Exmo. Senhor Deputado,@Alan_Rick
Alceu Moreira ,Exmo. Senhor Deputado,@Alceu_Moreira
Alcides Rodrigues ,Exmo. Senhor Deputado,
Alencar Santana Braga ,Exmo. Senhor Deputado,@AlencarBraga13
Alessandro Molon ,Exmo. Senhor Deputado,@alessandromolon
Alex Manente ,Exmo. Senhor Deputado,@AlexManentePPS
Alex Santana ,Exmo. Senhor Deputado,@depalexsantana
Alexandre Frota ,Exmo. Senhor Deputado,@alefrota77
Alexandre Leite ,Exmo. Senhor Deputado,@lexandreleite
Alexandre Padilha ,Exmo. Senhor Deputado,@padilhando
Alexandre Serfiotis ,Exmo. Senhor Deputado,@AleSerfiotis
Alexis Fonteyne ,Exmo. Senhor Deputado,@AlexisFonteyne
Aliel Machado ,Exmo. Senhor Deputado,@alielmachado
Aluisio Mendes ,Exmo. Senhor Deputado,@AluisioMendesMA
Amaro Neto ,Exmo. Senhor Deputado,@amaronetotv
André Abdon ,Exmo. Senhor Deputado,
André de Paula ,Exmo. Senhor Deputado,
André Ferreira ,Exmo. Senhor Deputado,
André Figueiredo ,Exmo. Senhor Deputado,@andrepdt12
André Fufuca ,Exmo. Senhor Deputado,@DepAndreFufuca
André Janones ,Exmo. Senhor Deputado,@AndreJanonesAdv
Antonio Brito ,Exmo. Senhor Deputado,
Arlindo Chinaglia ,Exmo. Senhor Deputado,@achinaglia
Arnaldo Jardim ,Exmo. Senhor Deputado,@ArnaldoJardim
Aroldo Martins ,Exmo. Senhor Deputado,@aroldomartins
Arthur Lira ,Exmo. Senhor Deputado,@ArthurLira_
Arthur Oliveira Maia ,Exmo. Senhor Deputado,@DepArthurMaia
Átila Lins ,Exmo. Senhor Deputado,
Átila Lira ,Exmo. Senhor Deputado,@deputadoatila
Augusto Coutinho ,Exmo. Senhor Deputado,@dep_acoutinho
Aureo Ribeiro ,Exmo. Senhor Deputado,@AureoRibeiroRJ
Bacelar ,Exmo. Senhor Deputado,@DeputadoBacelar
Baleia Rossi ,Exmo. Senhor Deputado,@Baleia_Rossi
Benes Leocádio ,Exmo. Senhor Deputado,@benesleocadiorn
Beto Faro ,Exmo. Senhor Deputado,@BetoFaroPT
Beto Pereira ,Exmo. Senhor Deputado,@betopereirams
Beto Rosado ,Exmo. Senhor Deputado,@BetoRosado
Bibo Nunes ,Exmo. Senhor Deputado,@bibonunes1
Bilac Pinto ,Exmo. Senhor Deputado,@bilac_pinto
Bira do Pindaré ,Exmo. Senhor Deputado,@BiradoPindare
Boca Aberta ,Exmo. Senhor Deputado,@BocaAbertaOf
Bohn Gass ,Exmo. Senhor Deputado,@BohnGass
Bosco Costa ,Exmo. Senhor Deputado,@BoscoCosta_SE
Bosco Saraiva ,Exmo. Senhor Deputado,@boscosaraiva
Bozzella,Exmo. Senhor Deputado,
Cacá Leão ,Exmo. Senhor Deputado,@CacaLeao
Camilo Capiberibe ,Exmo. Senhor Deputado,@CamiloPSB
Capitão Alberto Neto ,Exmo. Senhor Deputado,@capalbertoneto
Capitão Augusto ,Exmo. Senhor Deputado,@capitao_augusto
Capitão Fábio Abreu ,Exmo. Senhor Deputado,
Carlos Bezerra ,Exmo. Senhor Deputado,
Carlos Chiodini ,Exmo. Senhor Deputado,@carloschiodini
Carlos Gomes ,Exmo. Senhor Deputado,@Carlos_Gaguim
Carlos Henrique Gaguim ,Exmo. Senhor Deputado,@carlosgomesdep
Carlos Jordy ,Exmo. Senhor Deputado,@carlosjordy
Carlos Sampaio ,Exmo. Senhor Deputado,@carlossampaio_
Carlos Veras ,Exmo. Senhor Deputado,@carlosveraspt
Carlos Zarattini ,Exmo. Senhor Deputado,@CarlosZarattini
Cássio Andrade ,Exmo. Senhor Deputado,@Cassio_4011
Célio Moura ,Exmo. Senhor Deputado,@CelioMouraTO
Célio Silveira ,Exmo. Senhor Deputado,@csilveira4599
Célio Studart ,Exmo. Senhor Deputado,@CelioStudart
Celso Maldaner ,Exmo. Senhor Deputado,@maldaner_celso
Celso Russomanno ,Exmo. Senhor Deputado,@celsorussomanno
Celso Sabino ,Exmo. Senhor Deputado,@depcelsosabino
Cezinha de Madureira ,Exmo. Senhor Deputado,@Czmadureira
Charles Fernandes ,Exmo. Senhor Deputado,@Charles_Federal
Charlles Evangelista ,Exmo. Senhor Deputado,@charllesevg
Chico D'Angelo ,Exmo. Senhor Deputado,@chico_dangelo
Chiquinho Brazão ,Exmo. Senhor Deputado,@BrazaoChiquinho
Christino Aureo ,Exmo. Senhor Deputado,@christinoaureo
Claudio Cajado ,Exmo. Senhor Deputado,@deputadocajado
Cleber Verde ,Exmo. Senhor Deputado,@CleberVerde10
Coronel Armando ,Exmo. Senhor Deputado,@dep_cel_armando
Coronel Chrisóstomo ,Exmo. Senhor Deputado,
Coronel Tadeu ,Exmo. Senhor Deputado,@CoronelTadeu
Cristiano Vale ,Exmo. Senhor Deputado,
Da Vitoria ,Exmo. Senhor Deputado,@josiasdavitoria
Dagoberto Nogueira ,Exmo. Senhor Deputado,@dagobertopdt
Damião Feliciano ,Exmo. Senhor Deputado,@Drdamiaof
Daniel Almeida ,Exmo. Senhor Deputado,@Daniel_PCdoB
Daniel Coelho ,Exmo. Senhor Deputado,@DanielCoelho23
Daniel Freitas ,Exmo. Senhor Deputado,@DFDanielFreitas
Daniel Silveira ,Exmo. Senhor Deputado,@DanielPMERJ
Daniel Trzeciak ,Exmo. Senhor Deputado,@TrzeciakDaniel
